,TIME_UNIX,DATE_STR,HOUR_STR,OPEN_PRICE,HIGH_PRICE,CLOSE_PRICE,LOW_PRICE,VOLUME_FROM,VOLUME_TO,Dominance,fag
140,1757102400,9/5/2025,20,111629.32,111675.04,111651.69,111323.66,886.39,98824403.13,58.0300716530877,41
141,1757106000,9/5/2025,21,111651.69,111708.7,110622.91,110425.34,1677.73,186149833.15,58.0300716530877,41
142,1757109600,9/5/2025,22,110622.91,110947,110829.63,110528.65,406.94,45080467.29,58.0300716530877,41
143,1757113200,9/5/2025,23,110829.63,110831.02,110825.39,110812.48,6.619,733540.64,58.0300716530877,41
144,1757116800,9/6/2025,0,110676.99,110843.34,110796.28,110567.35,356.86,39504504.85,57.8478815034768,41
145,1757120400,9/6/2025,1,110796.28,110932.37,110883.37,110757.24,200.36,22206058.28,57.8478815034768,41
146,1757124000,9/6/2025,2,110883.37,111224.95,111221.69,110752.33,294.76,32698494.13,57.8478815034768,41
147,1757127600,9/6/2025,3,111221.69,111320.3,111092.83,111022.59,386.21,42937390.92,57.8478815034768,41
148,1757131200,9/6/2025,4,111092.83,111093.47,110891.02,110800.63,206.21,22869831.64,57.8478815034768,41
149,1757134800,9/6/2025,5,110891.02,110891.06,110731.02,110717.9,150.6,16683741.09,57.8478815034768,41
150,1757138400,9/6/2025,6,110731.02,110824.19,110774.3,110721.53,100.28,11107123.5,57.8478815034768,41
151,1757142000,9/6/2025,7,110774.3,110850.04,110837.03,110768.2,62.13,6883460.62,57.8478815034768,41
152,1757145600,9/6/2025,8,110837.03,110980.78,110961.27,110791.94,96.47,10695097.1,57.8478815034768,41
153,1757149200,9/6/2025,9,110961.27,110961.31,110717.94,110716.75,167.51,18557445.09,57.8478815034768,41
154,1757152800,9/6/2025,10,110717.94,110808.92,110789.43,110691.36,144.56,16008442.39,57.8478815034768,41
155,1757156400,9/6/2025,11,110789.43,110888.94,110799.02,110690.43,196.35,21743914.15,57.8478815034768,41
156,1757160000,9/6/2025,12,110799.02,110915.31,110847.05,110776.48,195.42,21661087.54,57.8478815034768,41
